probe ID,primary,secondary,dG_md,ddG_md,Kd_md,Kd_SDS/Kd_PFOS
00036,"[""[F]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-19.794163359098334, 0.6039205106204546]","[12.396507240369175, 1.203767304063154]","[0.0003576187759975106, 8.670229411939919e-05]","[0.006943286469459708, 0.003352555583849753]"
00037,"[""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]""]","[""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]""]","[-39.251844420860124, 0.46564236123831687]","[-10.296851708378206, 0.8675035026439932]","[1.4643630755800435e-07, 2.733781907752406e-08]","[62.05931270824596, 21.579464654852043]"
00038,"[""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-20.12842576302705, 0.6088634678731503]","[7.781154940781537, 0.9746650081256746]","[0.00031270950635524337, 7.625957518508033e-05]","[0.04419365899881075, 0.017265878045935573]"
00039,"[""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-46.06917898168033, 0.37056116559654156]","[-19.744598348105246, 0.5729349701966869]","[9.517327387538271e-09, 1.4194016153913401e-09]","[2741.3188464950176, 630.8526534386292]"
00040,"[""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]"", ""[F]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-33.85222779038291, 0.5661540358824326]","[-10.899130741730367, 0.9694131683744931]","[1.2758945311563111e-06, 2.896908924873139e-07]","[79.00926980646591, 30.702544811316777]"
00041,"[""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-42.59453086247871, 0.379182390086025]","[-29.825862602460898, 0.9101726810068761]","[3.832839996143149e-08, 5.817238104289918e-09]","[156055.87088305564, 56926.72183101953]"
00042,"[""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]"", ""[NH2]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-20.212208613100817, 0.37967274471461326]","[-7.022911034869319, 0.745909214925163]","[0.0003025260873635433, 4.607088930273287e-05]","[16.70291047775282, 4.995445888417855]"
00043,"[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-11.055234801386048, 0.7807187501662607]","[14.193542476219983, 1.015565395553481]","[0.01188738477275925, 0.0037204866526027594]","[0.003376575580743782, 0.001375914250177676]"
00044,"[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-38.835292932474616, 0.1592026394637171]","[-10.165228376121231, 0.4058659465524757]","[1.7294033083551803e-07, 1.0838444141185521e-08]","[58.917850023179525, 9.558482886188102]"
00045,"[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-29.996408563680394, 0.26886292391164746]","[-12.965985612817427, 0.8911835674221134]","[5.9856637004507056e-06, 6.457983282839397e-07]","[180.96797235968882, 64.69420331776247]"
00073,"[""COCOCOC"", ""COCOCOC"", ""COCOCOC"", ""COCOCOC"", ""COCOCOC"", ""COCOCOC"", ""COCOCOC""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-41.01170081699114, 1.312046805463455]","[-21.386061143879033, 2.065750416744926]","[7.232048073968344e-08, 3.805043211491866e-08]","[5291.93392324398, 4383.126115850818]"
00074,"[""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-56.44471127513059, 0.7190553067939554]","[-20.818399673310907, 1.9458764669231383]","[1.4857974423180323e-10, 4.28501175516647e-11]","[4216.551808433843, 3289.608035283987]"
